,Unnamed: 0,Symbol,Name,Last,YTD %Change,1-Month %Change,3-Month %Change,52-Week %Change,52-Week High,52-Week Low,Change,% Change,Assets Under Management,Time,Risk,Size,Percentile,Volatility
168,168,TDB3058.CF,TD Retirement Conservative Portfolio D Series -,10.78,-0.141,-0.0288,-0.0323,-0.1094,12.5993,10.78,-0.11,-0.01010101,"6,540 M",10/7/2022,low,small,None,0.168766234
23,23,TDB3474.CF,TD Fixed Income Pool F Series - NL,9.07,-0.1387,-0.0207,-0.0165,-0.126,10.5533,9.0278,-0.04,-0.004390779,"12,058 M",10/7/2022,low,large,None,0.168978046
96,96,PHN716.CF,PH&N Core Plus Bond Fund Series O - NL,8.613,-0.1284,-0.017,-0.0079,-0.1136,9.8971,8.4635,-0.0317,-0.003666987,"8,796 M",10/7/2022,None,medium,30%,0.169386188
97,97,RBF8716.CF,PH&N Core Plus Bond Fund Series O - NL,8.613,-0.1284,-0.017,-0.0079,-0.1136,9.8971,8.4635,-0.0317,-0.003666987,"8,796 M",10/7/2022,None,medium,30%,0.169386188
141,141,DJT07506.CF,Desjardins Canadian Bond Fund W Class,8.614,-0.1291,-0.0175,-0.0084,-0.1145,9.9073,8.4594,-0.027,-0.003124638,"6,854 M",10/7/2022,low,small,None,0.171158711
60,60,TDB2443.CF,TD Comfort Balanced Portfolio F - NL,10.32,-0.1393,-0.0246,-0.0181,-0.1011,12.04,10.28,-0.13,-0.012440191,"9,061 M",10/7/2022,low to medium,medium,None,0.171206226
148,148,DJT00606.CF,Desjardins Canadian Bond Fund I Class - NL,9.25,-0.1292,-0.0174,-0.0085,-0.1147,10.6395,9.0833,-0.029,-0.003125337,"6,854 M",10/7/2022,low,small,None,0.171325399
61,61,TDB3539.CF,TD Comfort Balanced Portfolio D Series - NL,10.71,-0.1411,-0.0246,-0.0183,-0.1032,12.52,10.68,-0.14,-0.012903226,"9,061 M",10/7/2022,low to medium,medium,None,0.172284644
166,166,TDB2753.CF,TD Retirement Conservative Portfolio - Premium N,16.77,-0.1444,-0.0295,-0.0334,-0.114,19.6774,16.77,-0.17,-0.010035419,"6,540 M",10/7/2022,low,small,None,0.173369112
167,167,TDB2759.CF,TD Retirement Conservative Portfolio K Series -,11,-0.1441,-0.0294,-0.0336,-0.1135,12.9075,11,-0.11,-0.00990099,"6,540 M",10/7/2022,low,small,None,0.173409091
24,24,TDB3610.CF,TD Fixed Income Pool - Advisor Series,8.5399,-0.1436,-0.0212,-0.0187,-0.1317,9.9973,8.5188,-0.0394,-0.004592449,"12,058 M",10/7/2022,low,large,None,0.173557309
169,169,TDB2740.CF,TD Retirement Conservative Portfolio Inv Ser - N,17.07,-0.1448,-0.0296,-0.034,-0.115,20.0411,17.07,-0.17,-0.009860789,"6,540 M",10/7/2022,low,small,None,0.174053896
176,176,TDB2747.CF,TD Retirement Conservative Portfolio T5 Ser - Is,11.09,-0.1447,-0.03,-0.0341,-0.1152,13.0245,11.09,-0.11,-0.009821429,"6,540 M",10/7/2022,low,small,None,0.174436429
177,177,TDB2748.CF,TD Retirement Conservative Portfolio T5 Ser - DS,11.09,-0.1447,-0.03,-0.0341,-0.1152,13.0245,11.09,-0.11,-0.009821429,"6,540 M",10/7/2022,low,small,None,0.174436429
178,178,TDB2749.CF,TD Retirement Conservative Portfolio T5 Ser - Ls,11.09,-0.1447,-0.03,-0.0341,-0.1152,13.0245,11.09,-0.11,-0.009821429,"6,540 M",10/7/2022,low,small,None,0.174436429
179,179,TDB2750.CF,TD Retirement Conservative Portfolio T5 Ser - Ls,11.09,-0.1447,-0.03,-0.0341,-0.1152,13.0245,11.09,-0.11,-0.009821429,"6,540 M",10/7/2022,low,small,None,0.174436429
170,170,TDB2741.CF,TD Retirement Conservative Portfolio Adv Ser -Is,16.9603,-0.1451,-0.0297,-0.034,-0.1153,19.9233,16.9603,-0.1724,-0.010062629,"6,540 M",10/7/2022,low,small,None,0.174702098
171,171,TDB2742.CF,TD Retirement Conservative Portfolio Adv Ser -Ds,16.9603,-0.1451,-0.0297,-0.034,-0.1153,19.9233,16.9603,-0.1724,-0.010062629,"6,540 M",10/7/2022,low,small,None,0.174702098
172,172,TDB2743.CF,TD Retirement Conservative Portfolio Adv Ser -Ls,16.9603,-0.1451,-0.0297,-0.034,-0.1153,19.9233,16.9603,-0.1724,-0.010062629,"6,540 M",10/7/2022,low,small,None,0.174702098
173,173,TDB2744.CF,TD Retirement Conservative Portfolio Adv Ser -Ls,16.9603,-0.1451,-0.0297,-0.034,-0.1153,19.9233,16.9603,-0.1724,-0.010062629,"6,540 M",10/7/2022,low,small,None,0.174702098
5,5,RBF461.CF,RBC Select Conservative Portfolio Series A - NL,21.069,-0.1423,-0.0258,-0.0203,-0.1173,24.6469,20.9802,-0.2406,-0.011290686,"25,053 M",10/7/2022,low,large,None,0.174769545
144,144,DJT03806.CF,Desjardins Canadian Bond Fund F Class - NL,8.996,-0.1333,-0.018,-0.0101,-0.1202,10.3996,8.8519,-0.028,-0.003102837,"6,854 M",10/7/2022,low,small,None,0.174843819
36,36,FID933.CF,Fidelity Canadian Bond Fund Series O,12.8509,-0.1126,-0.0255,-0.0102,-0.1124,14.5395,12.374,0,0,"10,609 M",8/31/2022,low,large,30%,0.175004041
175,175,TDB2746.CF,TD Retirement Conservative Portfolio H5 Ser - NL,11.17,-0.1455,-0.0297,-0.0345,-0.1152,13.1257,11.17,-0.12,-0.010628875,"6,540 M",10/7/2022,low,small,None,0.175085049
10,10,TDB2923.CF,TD Canadian Core Plus Bond Fd-Premium F NL,9.12,-0.1356,-0.0159,-0.0104,-0.1236,10.5707,8.9952,-0.03,-0.003278689,"13,235 M",10/7/2022,low,large,None,0.175148968
142,142,DJT07006.CF,Desjardins Canadian Bond Fund D Class,8.949,-0.1337,-0.018,-0.0102,-0.1207,10.3503,8.8075,-0.028,-0.003119082,"6,854 M",10/7/2022,low,small,None,0.17516889
34,34,TDB2921.CF,TD Canadian Bond Fund - Premium F Ser NL,9.08,-0.1378,-0.0186,-0.0122,-0.1266,10.5409,8.968,-0.03,-0.003293085,"11,313 M",10/7/2022,low,large,None,0.175390277
18,18,TDB699.CF,TD Canadian Core Plus Bond Fund  F Series - NL,10.32,-0.1365,-0.0167,-0.0114,-0.124,11.9713,10.1784,-0.03,-0.002898551,"13,235 M",10/7/2022,low,large,None,0.176147528
32,32,TDB406.CF,TD Canadian Bond Fund Series F - NL,10.66,-0.1386,-0.0195,-0.0132,-0.1281,12.3955,10.5333,-0.04,-0.003738318,"11,313 M",10/7/2022,low,large,None,0.176791699
62,62,TDB886.CF,TD Comfort Balanced Portfolio Inv - NL,16.39,-0.1459,-0.0256,-0.0209,-0.1094,19.27,16.36,-0.21,-0.012650602,"9,061 M",10/7/2022,low to medium,medium,None,0.177872861
38,38,PHN9072.CF,RBC Global Bond Fund Series O - NL,9.4897,-0.138,-0.035,-0.045,-0.1371,11.1307,9.4471,-0.0489,-0.005126538,"9,851 M",10/7/2022,low,medium,None,0.17821342
39,39,RBF193.CF,RBC Global Bond Fund Series O - NL,9.4897,-0.138,-0.035,-0.045,-0.1371,11.1307,9.4471,-0.0489,-0.005126538,"9,851 M",10/7/2022,low,medium,None,0.17821342
